# Date: 2022-04-25, 12:43:47
# Query: #x_ >PRED #y & #x_ >VTYPE #z_
# Running time: 552.87s 
# Treebanks: nob-avis, nob-child, nob-lbk-av, nob-lbk-sa, nob-lbk-tv, nob-ndt-lfg, nob-novel, nob-novel_1, nob-novel_2, nob-novel_3, nob-novel_4, nob-novel_5, nob-novel_6, nob-novel_7, nob-novel_8, nob-novel_9, nob-nrk, nob-sofie
# match types: 10810
# matches: 10458840

#	#y	
# Count	value
582	sette*frem
582	variere
581	blekne
580	få*ut
579	konsentrere*seg
578	overdøve
578	knytte*seg
577	våge*seg
577	tråkke*på
577	snuble*i
577	overføre
576	trave
573	gå*ut*på
573	glefse
573	betro
571	klinge
570	få*i*seg
570	gå#glipp*av
568	kvekke
567	tilkalle
567	stanse*opp
567	mate
565	spise*opp
565	summe
565	klage*over
565	flakse
562	skjenke*i
561	ha*godt*av
561	fosse
560	bråke
559	dømme*til
558	ule
558	nippe*til
557	herje
557	fordømme
556	snøfte
556	fordele
555	sulte
555	oppdra
555	forvandle*til
555	fotografere
554	strekke*frem
554	falle*sammen
553	humre
553	bekymre*seg
552	tyde
552	borde
552	sjenere
552	gjengjelde
551	strekke*seg*etter
551	endre*seg
551	skru
551	utforske
550	voldta
550	dele*ut
550	løfte*seg
549	erkjenne
548	forkynne
548	dampe
547	løfte*på
547	skru*av
547	døpe
545	rydde*opp
544	tumle
544	gruble
544	gjennomskue
543	undre*seg*over
543	blomstre
543	toe
542	bestå
542	slette
541	tippe
541	innhente
540	overvinne
540	finne*igjen
540	lekke
539	anmelde
538	insistere
537	legge*igjen
536	innlede
536	råde
534	overmanne
534	slå*til
533	fortrenge
533	koste
532	stusse
532	blotte
532	tillate*seg
531	fremme
530	spore
530	overrumple
529	gripe#tak*i
527	stikke*opp
527	erfare
524	tenne*på
524	titte*på
524	sperre
524	identifisere
523	lamslå
523	sitre
522	slutte*seg*til
522	kutte*ut
522	prikke
521	bedrøve
521	koble
521	fremstå*som
520	sperre*opp
519	tilby*seg
519	definere
519	vrenge
519	jamre
519	klistre
519	legge*opp
518	unnlate
517	smelle*igjen
517	fremheve
517	utstøte
517	ryste*på
516	gjenstå
516	rake
515	tø
515	duve
515	se*frem*til
514	gnage
513	hekte
513	oppføre*seg*som
512	unne
512	sette*ut
511	klore
511	hvine
509	erobre
509	småløpe
509	ruve
509	slumpe-til
508	overveie
508	tordne
508	pågå
507	være*med
507	flytte*på
507	tygge*på
506	påta*seg
506	utelukke
506	pakke*inn
505	flette
505	intervjue
504	mistenke
503	opprette
503	tikke
503	revne
502	krympe*seg
501	komme*til
501	oppsluke
500	holde*seg*fast
500	oppbevare
500	drite
500	sverge*på
499	veive
499	vente&wait*med
499	kjenne*etter
498	redde*fra
498	flytte*på*seg
497	forferde
497	forårsake
495	benytte*seg*av
495	forsøke*seg
495	inspirere
494	innstille
494	finne#sted
493	gnistre
493	åpenbare
492	løse*seg*opp
492	lide&suffer*av
491	mønstre
491	gre
490	knitre
490	avsky
488	overfalle
487	hente*frem
486	riste&shake*av*seg
486	falle*for
485	stresse
485	opprettholde
483	brenne*seg
483	gløtte
482	trekke*i
482	traske
482	kose*seg
481	medføre
480	sammenligne
480	begrense
480	presentere*seg
479	mestre
479	nedlegge
478	navne
478	knise
478	knipse
477	fremkalle
475	roe*seg*ned
475	bygge*på
474	regne&consider*som
473	fremstille
472	dominere
472	buldre
472	brette*ut
472	lempe
472	gå*ut*over
471	himle
471	legge*i
471	pine
